ID,Start time,Completion time,Email,Name,"Age range (in years)
年龄范围","Gender 
性别","I find the information in the video useful on keeping fit and healthy as a senior
我觉得视频中的信息对老年人保持健康很有用","I find the duration of the video sufficient
我觉得视频的时长足够","After watching the video, I know some exercises to improve my mobility and overall strength 
看完视频，我学会了一些能提高我的机动性和整体力量的练习","I understand the importance of doing mobility and strength training exercises
我了解进行灵活性和力量训练的重要性
","After watching the video, I know how to do the basic mobility and strength training exercises on my own
看完视频，我知道如何让自己做基本的机动性和力量训练
","I will be recommending this video to other family members and friends
我会将此视频推荐给我的家人和朋友
","How useful were the videos by the health experts? 
看了专家建议的视频，你觉得有帮助吗？","Any videos that you would like to see more of? (You can choose multiple answers)
你想看更多有关的视频吗？(可以选择多个答案）

","Any other comments
任何其他意见
"
1,8/27/22 11:59:01,8/27/22 12:00:38,anonymous,,50-59 | 五十到五十九,Male | 男,5,4,4,4,4,4,4,More exercises that can be practiced at home? | 更多可以在家做的运动?;More exercises that can be practiced outside home? | 更多可以在外面做的运动?;,
2,8/29/22 8:03:41,8/29/22 8:04:32,anonymous,,Below 50 | 少过五十岁,Male | 男,5,4,5,4,5,4,4,More experts to provide information? | 更多专家提供的信息;,
3,8/29/22 9:52:12,8/29/22 11:38:06,anonymous,,Below 50 | 少过五十岁,Female | 女,5,5,5,5,5,5,5,More exercises that can be practiced at home? | 更多可以在家做的运动?;,"Well done, the segments are concise and to the point. Variety of presenters and topics means it doesn’t get too boring. 
"
4,8/29/22 13:02:08,8/29/22 13:02:56,anonymous,,Below 50 | 少过五十岁,Female | 女,5,5,5,5,5,5,5,More exercises that can be practiced at home? | 更多可以在家做的运动?;More exercises that can be practiced outside home? | 更多可以在外面做的运动?;More experts to provide information? | 更多专家提供的信息;,
5,8/29/22 13:16:15,8/29/22 13:17:12,anonymous,,Below 50 | 少过五十岁,Male | 男,5,4,5,5,5,5,4,More exercises that can be practiced at home? | 更多可以在家做的运动?;More exercises that can be practiced outside home? | 更多可以在外面做的运动?;More experts to provide information? | 更多专家提供的信息;,
6,8/29/22 17:30:10,8/29/22 17:31:35,anonymous,,Below 50 | 少过五十岁,Female | 女,5,3,4,5,5,5,4,More exercises that can be practiced outside home? | 更多可以在外面做的运动?;More experts to provide information? | 更多专家提供的信息;,
7,8/31/22 20:08:24,8/31/22 20:11:01,anonymous,,50-59 | 五十到五十九,Female | 女,5,5,5,5,5,5,5,More exercises that can be practiced at home? | 更多可以在家做的运动?;More exercises that can be practiced outside home? | 更多可以在外面做的运动?;More experts to provide information? | 更多专家提供的信息;,"Our coach Mei En recommended us to keep fit, very very good!"
8,8/31/22 20:08:26,8/31/22 20:19:47,anonymous,,50-59 | 五十到五十九,Female | 女,5,5,5,5,5,5,5,More exercises that can be practiced at home? | 更多可以在家做的运动?;,Our coach Mei en encouraged me to stay active 
9,8/31/22 21:43:57,8/31/22 21:48:54,anonymous,,50-59 | 五十到五十九,Male | 男,3,3,4,5,4,4,4,More exercises that can be practiced at home? | 更多可以在家做的运动?;,
10,8/31/22 21:42:12,8/31/22 21:49:36,anonymous,,50-59 | 五十到五十九,Female | 女,4,4,4,4,4,3,4,More exercises that can be practiced outside home? | 更多可以在外面做的运动?;,
11,8/31/22 22:47:27,8/31/22 22:47:40,anonymous,,50-59 | 五十到五十九,Female | 女,5,5,5,5,5,5,5,More experts to provide information? | 更多专家提供的信息;,Good public service video to create awareness
12,9/1/2022 7:30,9/1/2022 7:30,anonymous,,60-69 | 六十到六十九,Female | 女,5,5,5,5,5,5,5,More experts to provide information? | 更多专家提供的信息;More exercises that can be practiced outside home? | 更多可以在外面做的运动?;More exercises that can be practiced at home? | 更多可以在家做的运动?;,
13,9/1/2022 8:19,9/1/2022 8:34,anonymous,,50-59 | 五十到五十九,Male | 男,5,4,4,5,4,5,4,More experts to provide information? | 更多专家提供的信息;More exercises that can be practiced outside home? | 更多可以在外面做的运动?;More exercises that can be practiced at home? | 更多可以在家做的运动?;,Could include diet to compliment exercising.
14,9/1/2022 8:45,9/1/2022 8:46,anonymous,,60-69 | 六十到六十九,Female | 女,5,4,5,5,5,5,5,More exercises that can be practiced at home? | 更多可以在家做的运动?;,
15,9/1/2022 8:49,9/1/2022 8:51,anonymous,,Below 50 | 少过五十岁,Male | 男,4,4,4,4,4,4,4,More exercises that can be practiced outside home? | 更多可以在外面做的运动?;,
16,9/1/2022 8:52,9/1/2022 8:56,anonymous,,60-69 | 六十到六十九,Male | 男,5,5,5,5,5,5,5,More exercises that can be practiced at home? | 更多可以在家做的运动?;,Good to remind participants to understand their own health condition b4 embarking on an exercise regiment especially those who hv not been doing exercises for long. 
17,9/1/2022 9:01,9/1/2022 9:02,anonymous,,50-59 | 五十到五十九,Female | 女,4,3,4,4,4,3,3,More experts to provide information? | 更多专家提供的信息;,
18,9/1/2022 9:15,9/1/2022 9:16,anonymous,,Below 50 | 少过五十岁,Male | 男,4,3,5,5,5,4,5,More exercises that can be practiced at home? | 更多可以在家做的运动?;,video can have multiple languages and maybe a standalone exercise clip so seniors can quickly find it to do the exercises
19,9/1/2022 9:23,9/1/2022 9:29,anonymous,,50-59 | 五十到五十九,Male | 男,4,3,4,4,4,3,3,More exercises that can be practiced at home? | 更多可以在家做的运动?;More exercises that can be practiced outside home? | 更多可以在外面做的运动?;,"Provide subtitle on screen
"
20,9/1/2022 9:58,9/1/2022 10:00,anonymous,,50-59 | 五十到五十九,Female | 女,5,5,5,4,4,5,4,More exercises that can be practiced at home? | 更多可以在家做的运动?;,
21,9/1/2022 11:00,9/1/2022 11:02,anonymous,,50-59 | 五十到五十九,Male | 男,5,4,5,5,5,4,5,More experts to provide information? | 更多专家提供的信息;,Would be good to include music in some parts of the video.
22,9/1/2022 11:51,9/1/2022 11:53,anonymous,,Below 50 | 少过五十岁,Female | 女,4,2,4,5,4,4,3,More exercises that can be practiced outside home? | 更多可以在外面做的运动?;,Shorten the video to 5 mins. No need expert advice 
23,9/1/2022 12:06,9/1/2022 12:07,anonymous,,Below 50 | 少过五十岁,Female | 女,5,5,5,5,5,5,5,More exercises that can be practiced outside home? | 更多可以在外面做的运动?;More exercises that can be practiced at home? | 更多可以在家做的运动?;More experts to provide information? | 更多专家提供的信息;,
24,9/1/2022 12:50,9/1/2022 12:52,anonymous,,50-59 | 五十到五十九,Male | 男,4,4,5,5,4,5,5,More exercises that can be practiced outside home? | 更多可以在外面做的运动?;,Have more videos with shorter duration. 
25,9/1/2022 13:02,9/1/2022 13:03,anonymous,,50-59 | 五十到五十九,Male | 男,4,3,4,4,4,4,4,More experts to provide information? | 更多专家提供的信息;,
26,9/1/2022 13:28,9/1/2022 13:30,anonymous,,50-59 | 五十到五十九,Female | 女,4,3,5,5,5,4,4,More exercises that can be practiced at home? | 更多可以在家做的运动?;,
27,9/1/2022 13:53,9/1/2022 13:54,anonymous,,Below 50 | 少过五十岁,Male | 男,4,3,4,5,4,3,4,More exercises that can be practiced at home? | 更多可以在家做的运动?;,
28,9/1/2022 15:15,9/1/2022 15:16,anonymous,,50-59 | 五十到五十九,Female | 女,5,4,4,4,4,4,5,More exercises that can be practiced at home? | 更多可以在家做的运动?;,
29,9/1/2022 15:41,9/1/2022 15:42,anonymous,,60-69 | 六十到六十九,Female | 女,4,4,4,4,4,4,4,More exercises that can be practiced at home? | 更多可以在家做的运动?;,
30,9/1/2022 18:12,9/1/2022 18:13,anonymous,,50-59 | 五十到五十九,Female | 女,5,5,5,5,5,5,5,More exercises that can be practiced at home? | 更多可以在家做的运动?;,Well documented 
31,9/1/2022 19:12,9/1/2022 19:13,anonymous,,50-59 | 五十到五十九,Female | 女,4,3,4,4,4,4,4,More exercises that can be practiced at home? | 更多可以在家做的运动?;,
32,9/1/2022 19:15,9/1/2022 19:17,anonymous,,50-59 | 五十到五十九,Female | 女,5,4,4,5,5,4,4,More exercises that can be practiced outside home? | 更多可以在外面做的运动?;,
33,9/1/2022 19:19,9/1/2022 19:20,anonymous,,60-69 | 六十到六十九,Female | 女,5,3,4,4,4,4,4,More experts to provide information? | 更多专家提供的信息;,
34,9/1/2022 19:23,9/1/2022 19:25,anonymous,,60-69 | 六十到六十九,Female | 女,4,4,4,4,4,4,4,More exercises that can be practiced at home? | 更多可以在家做的运动?;,No
35,9/1/2022 20:40,9/1/2022 20:43,anonymous,,50-59 | 五十到五十九,Female | 女,4,4,5,5,4,4,4,More exercises that can be practiced at home? | 更多可以在家做的运动?;More experts to provide information? | 更多专家提供的信息;,
36,9/2/2022 2:01,9/2/2022 2:03,anonymous,,60-69 | 六十到六十九,Male | 男,4,4,4,4,4,0,4,,
37,9/2/2022 9:54,9/2/2022 9:56,anonymous,,70-79 | 七十到七十九,Female | 女,5,5,5,5,5,5,5,More exercises that can be practiced at home? | 更多可以在家做的运动?;More experts to provide information? | 更多专家提供的信息;More exercises that can be practiced outside home? | 更多可以在外面做的运动?;,
38,9/2/2022 10:14,9/2/2022 10:17,anonymous,,60-69 | 六十到六十九,Female | 女,4,4,4,4,4,4,4,More exercises that can be practiced at home? | 更多可以在家做的运动?;,Helps for instructors repeat when to breath in and breath out.
39,9/2/2022 11:23,9/2/2022 11:26,anonymous,,50-59 | 五十到五十九,Female | 女,5,4,4,4,5,4,5,More exercises that can be practiced outside home? | 更多可以在外面做的运动?;More exercises that can be practiced at home? | 更多可以在家做的运动?;More experts to provide information? | 更多专家提供的信息;,The video was well plan and informative  Thks. 
40,9/3/2022 19:37,9/3/2022 19:38,anonymous,,60-69 | 六十到六十九,Female | 女,5,5,5,5,5,5,5,More exercises that can be practiced at home? | 更多可以在家做的运动?;More experts to provide information? | 更多专家提供的信息;,Keep up the good work!
